Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Predicted Performance Index,Predicted Performance Index (rounded)
7,99,Yes,9,1,91.84925756429323,92
8,51,Yes,7,2,45.07033420535438,45
8,91,No,4,5,84.33177156671562,84
5,79,No,7,8,65.58487780808528,66
2,72,No,4,3,47.42898366164808,47
2,54,Yes,4,9,30.884869469864448,31
1,99,Yes,4,3,72.64867118348323,73
1,85,No,5,6,58.88183054108912,59
3,61,No,6,3,40.064009980892244,40
9,84,Yes,6,6,81.83053799740782,82
5,90,Yes,4,3,74.92976724909857,75
3,61,Yes,7,3,41.14416080295526,41
7,44,Yes,9,1,35.85807828980058,36
2,55,Yes,4,1,30.321103060714243,30
2,63,Yes,6,0,39.23999102492788,39
4,73,Yes,7,0,55.62806991472025,56
8,61,No,7,2,54.65661775418118,55
2,89,Yes,6,1,65.90627198145566,66
6,81,No,9,9,71.65190634624986,72
6,62,Yes,9,0,51.12391849341565,51
2,54,Yes,9,5,32.52507533134071,33
8,48,No,6,0,40.54067209660196,41
9,97,Yes,8,5,95.83953316839356,96
1,87,Yes,8,8,63.365911123178556,63
7,61,Yes,4,7,51.91968389397547,52
8,62,Yes,4,2,54.80991018821576,55
8,68,No,7,3,61.98049132497514,62
3,54,Yes,5,0,32.452400354843725,32
3,69,No,4,7,48.02663552228841,48
7,80,No,8,3,71.82214631912254,72
9,99,No,4,1,94.5458714317499,95
8,61,Yes,6,9,56.14839303074431,56
3,48,No,7,5,27.711398163256753,28
8,64,No,5,1,56.54051868223991,57
7,53,No,5,9,44.06324841839473,44
7,89,No,8,1,80.58889232868609,81
5,40,No,4,9,24.62110520453915,25
7,68,No,4,8,58.64962660005212,59
3,67,No,9,8,48.61941590762124,49
4,56,No,4,7,37.65317904413232,38
7,91,Yes,6,3,82.64187312404695,83
9,89,Yes,5,3,85.84125480289492,86
4,54,No,7,5,36.68034907083449,37
7,96,No,5,3,86.65182950875598,87
8,96,No,8,9,92.15765252812284,92
6,59,Yes,4,9,47.41826571444154,47
8,48,No,5,4,40.845346064508554,41
1,72,No,7,0,45.43365083029473,45
4,77,Yes,8,6,61.37271652536206,61
2,53,Yes,8,9,31.811727857892883,32
3,56,No,5,7,35.27857674202678,35
1,96,No,8,6,71.53872626802479,72
1,72,Yes,5,7,46.43920614951215,46
8,40,Yes,7,7,34.86071575702122,35
2,45,Yes,4,3,20.536335609796275,21
5,72,Yes,8,1,58.15481417147587,58
1,69,Yes,9,8,45.52774513614485,46
5,49,No,6,5,33.964844166167985,34
7,58,Yes,6,2,48.84944207803829,49
8,62,No,6,8,56.37476012606833,56
1,43,No,6,4,16.215702998923383,16
8,58,No,5,1,50.432390034113446,50
4,66,No,4,5,47.43794649505029,47
6,73,No,8,7,62.626067895442695,63
1,95,No,8,6,70.5207048266704,71
9,77,Yes,9,1,75.17443037339868,75
6,46,Yes,9,7,36.2196398009366,36
3,65,No,4,4,43.361379312931525,43
4,48,No,5,1,28.80888658276428,29
2,55,Yes,6,7,32.47988386328414,32
8,93,No,7,2,87.23330387752236,87
7,49,Yes,7,3,40.37119254450736,40
4,47,Yes,5,1,28.384796006127182,28
5,87,No,5,3,71.76799201766377,72
8,65,No,6,5,58.835654006192335,59
3,54,Yes,6,3,33.531790756128665,34
6,77,No,6,8,65.923437227482,66
3,62,Yes,9,0,42.541451715061875,43
4,62,Yes,4,6,44.15751507566302,44
4,78,No,8,3,61.20363665805993,61
5,92,No,7,2,77.63281565781415,78
7,52,No,6,5,42.74055300913373,43
6,83,Yes,4,7,71.45533334432128,71
3,48,No,5,1,25.94806432331302,26
2,66,Yes,6,3,42.887225792930344,43
5,68,No,4,8,52.927982081149615,53
1,76,No,8,5,50.98057395962346,51
3,90,Yes,7,7,71.45767652748552,71
3,46,Yes,4,2,24.217455829288873,24
9,72,No,7,1,68.51795238721789,69
5,77,No,7,4,62.75794100012414,63
4,89,Yes,7,8,73.49820082689544,73
8,44,No,6,5,37.4572037377497,37
2,99,Yes,9,5,78.33604019228923,78
1,99,Yes,4,6,73.24184162742247,73
9,93,No,7,5,90.68729658091286,91
8,91,No,5,8,85.41116196800056,85
9,96,Yes,4,3,92.48118493503009,92
1,61,No,8,3,35.31480537668114,35
3,73,Yes,5,0,51.79480774057756,52
2,45,Yes,4,5,20.931782572422428,21
4,41,Yes,8,2,23.93305071135093,24
5,44,No,6,0,27.886119552830536,28
7,84,No,6,9,76.10813305772723,76
4,89,Yes,7,1,72.11413645770392,72
7,51,Yes,6,7,42.71190939512278,43
1,40,Yes,8,9,15.716626860834268,16
5,83,No,5,0,67.10273580830687,67
1,83,No,8,0,57.11810664253897,57
1,86,Yes,5,9,61.086953291100066,61
2,41,No,8,8,18.803816215609558,19
8,88,No,5,8,82.35709764393732,82
